,tweets_VB
0,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/gQOQYFGEm9
1,¿Va a viajar al exterior con los niños este verano? Sepa cómo protegerlos del #Zika. https://t.co/rlN4dhHa9c https://t.co/zZHmRwTF1Y
2,"¿Extinguir a los mosquitos del #Zika para frenarlo? #CRISPR podría, pero ¿se llegaría a un consenso para ello? https://t.co/xzT07iEFMy"
3,"Voy a mandar un DM a Bill Gates para q me cree un  mosquito genéticamente alterado, como el del Zika, para combatir Ks"
4,Estoy a una picada de mosquito que me de zika
5,Voy a morir me trague un mosquito y después me entro uno por la nariz. Muerte por zika yate100to
6,"Advierten a los turistas que viajen a #Brasil por la proliferación del virus zika, que es transmitido por mosquitos."
7,"Advierten a turistas que viajen a Brasil por el virus zika, del mosquito aedes https://t.co/U0q1k2hNxI"
8,Recomiendan a quienes viajen a Brasil tomar medidas para evitar el virus Zika transmitido por el mosquito del dengue https://t.co/LqaPYQb229
9,Vacunarán a mosquito del #Zika para evitar que propague la enfermedad https://t.co/yZBeljA1Nf https://t.co/yHfqG7VJQA
10,'Van a seguir los mosquitos siendo los vectores más importantes de la enfermedad' Ministro Barrios s/ #Dengue #Zika y #Chikungunya #730AM
11,"'Protegerán a Papa del zika' 'inicia fumigación aérea y en casas.' Ah, qué bueno que es por él. Pffffff. https://t.co/zrhoSS2Ngv"
12,¡Ayudadnos a acabar con el mosquito tigre! https://t.co/aYqnZdRANB #Zika https://t.co/ERqDpDiMwt
13,"Ya me picaron como 10 mosquitos, como eran los efectos del zica?"
14,"Únete a la #Zikatrón. Si vives o viajas a una zona afectada por el zika, protégete del mosquito y usa condón en tus relaciones sexuales."
15,Voy a dormir a ver si me pica un mosquito de esos con el zika o algo y me muero
16,"Protege a tu familia de los mosquitos que causan el dengue, zika y chikungunya, ¡mantén limpio tu patio! https://t.co/aY0N6gwwNM"
17,"Yo me imagino al mosquito aedes aegypti diciendo hoy estoy de mal humor vengo a contagiar de Zika, mañana contagio dengue y luego chikunguya"
18,Proteja a su familia de los mosquitos que transmiten enfermedades como #zika. https://t.co/kr7OWvldiN
19,Salí a correr y me picaron mil mosquitos. #Zika
20,'Conmigo a tu lado ni el mosquito del zika se te acercará' 😂😂😂 #3VecesAna https://t.co/cCylYn0U7h
21,Proteja a su familia de los mosquitos y Zika este verano! Empieze eliminando el agua estancada en su casa! https://t.co/EHJPTAnO5t
22,"¡Protége a tu familia del dengue, zika y chikungunya eliminando criaderos de mosquitos de tu patio! https://t.co/cBG1ZHPojS"
23,"Cuida a tu familia de los mosquitos que trasmiten el zika, dengue y chikungunya, evitando los criaderos por el... https://t.co/6P41WUCJ4R"
24,Preocupa a diputados que el calor genere propagación del mosquito del Zika - EosNoticias: https://t.co/9JJPgIFpx4
25,Preocupa a diputados que el calor genere propagación del mosquito del Zika - EosNoticias: https://t.co/drUhz9CEZv
26,Salí a pasear a mis perros y no puedo estar quieto ni dos segundos por qué los condenados mosquitos andan a la orden del Zika.
