,tweets_VBG
0,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/gQOQYFGEm9
1,¿Va a viajar al exterior con los niños este verano? Sepa cómo protegerlos del #Zika. https://t.co/rlN4dhHa9c https://t.co/zZHmRwTF1Y
2,"¿Extinguir a los mosquitos del #Zika para frenarlo? #CRISPR podría, pero ¿se llegaría a un consenso para ello? https://t.co/xzT07iEFMy"
3,"Voy a mandar un DM a Bill Gates para q me cree un  mosquito genéticamente alterado, como el del Zika, para combatir Ks"
4,Estoy a una picada de mosquito que me de zika
5,Voy a morir me trague un mosquito y después me entro uno por la nariz. Muerte por zika yate100to
6,"Advierten a los turistas que viajen a #Brasil por la proliferación del virus zika, que es transmitido por mosquitos."
7,"Advierten a turistas que viajen a Brasil por el virus zika, del mosquito aedes https://t.co/U0q1k2hNxI"
8,Recomiendan a quienes viajen a Brasil tomar medidas para evitar el virus Zika transmitido por el mosquito del dengue https://t.co/LqaPYQb229
9,Vacunarán a mosquito del #Zika para evitar que propague la enfermedad https://t.co/yZBeljA1Nf https://t.co/yHfqG7VJQA
10,'Van a seguir los mosquitos siendo los vectores más importantes de la enfermedad' Ministro Barrios s/ #Dengue #Zika y #Chikungunya #730AM
11,"'Protegerán a Papa del zika' 'inicia fumigación aérea y en casas.' Ah, qué bueno que es por él. Pffffff. https://t.co/zrhoSS2Ngv"
12,¡Ayudadnos a acabar con el mosquito tigre! https://t.co/aYqnZdRANB #Zika https://t.co/ERqDpDiMwt
13,Protecting Yourself from Zika  El Zika... ¿cómo protegerse de él? ¿es posible? Leamos el siguiente trabajo y... https://t.co/ATrJ46UrrJ
14,"Ya me picaron como 10 mosquitos, como eran los efectos del zica?"
15,"Únete a la #Zikatrón. Si vives o viajas a una zona afectada por el zika, protégete del mosquito y usa condón en tus relaciones sexuales."
16,"Crowdsourcing inteligente, buscamos expertos en Zika y otras enfermedades transmitidas por mosquitos https://t.co/3rTqWULAAN vía @BIDgente"
17,Voy a dormir a ver si me pica un mosquito de esos con el zika o algo y me muero
18,"Protege a tu familia de los mosquitos que causan el dengue, zika y chikungunya, ¡mantén limpio tu patio! https://t.co/aY0N6gwwNM"
19,"Yo me imagino al mosquito aedes aegypti diciendo hoy estoy de mal humor vengo a contagiar de Zika, mañana contagio dengue y luego chikunguya"
20,Proteja a su familia de los mosquitos que transmiten enfermedades como #zika. https://t.co/kr7OWvldiN
21,Salí a correr y me picaron mil mosquitos. #Zika
22,'Conmigo a tu lado ni el mosquito del zika se te acercará' 😂😂😂 #3VecesAna https://t.co/cCylYn0U7h
23,Proteja a su familia de los mosquitos y Zika este verano! Empieze eliminando el agua estancada en su casa! https://t.co/EHJPTAnO5t
24,"¡Protége a tu familia del dengue, zika y chikungunya eliminando criaderos de mosquitos de tu patio! https://t.co/cBG1ZHPojS"
25,"Cuida a tu familia de los mosquitos que trasmiten el zika, dengue y chikungunya, evitando los criaderos por el... https://t.co/6P41WUCJ4R"
