,id,tweet
0,780950352287891457,Keep in mind ALL #essentialoils can build up as toxic in ur #Liver #doterra #youngliving #bugs #bugspray #zika https://t.co/74rNI31B5N
1,780980338361335808,Help me! It's 2am and they're spraying DDT in the parking lot in Key Largo #runaway #zikavirus
2,781037312033558529,Stop the spread of harmful contamination now. Protect against Zika Virus #disinfectmyplane https://t.co/PI3JwTgLq5
3,781044697422757888,Check out the Latest from The Mosquito Defense Store New Zika Case In Florida - https://t.co/Uq442hxfGN
4,781112408660205569,Join the fight against Zika in Idylwood in 3 simple steps. Eliminate standing water. Get out that bug spray.... https://t.co/700O0IhzOA
5,781112705050640384,See VMP Grayson Brown in news - What does beer have to do with mosquito bites? https://t.co/q7oa6mqmLQ
6,781122632095784960,Take a look around your property &amp; #DrainandCover to help protect yourself and prevent #Zika https://t.co/nEvF0YKB19
7,781181846356955136,Take steps to help protect yourself and others from #Zika infection: https://t.co/OHMD0qN4oF #DrainAndCover https://t.co/A7DCTkls0b
8,781211055104126977,Does the Zika virus that persists in mosquito eggs remain infectious? @CDCgov #WellnessWed
9,781215543714050050,Protect yourself from #Zika: Cover up and use insect repellent. Remove standing waters. Use condoms. #WellnessWed… https://t.co/5bDTKQ01Ya
10,781222065697329152,Protect yourself from #Zika: Cover up and use insect repellent. Remove standing waters. Use condoms. #WellnessWed… https://t.co/oCYHncIpzd
11,781223353466093568,Learn how to prevent #Zika and other mosquito-borne illnesses at https://t.co/HBS3yuH0am https://t.co/2FDRZ5Iqc9
12,781223279470211072,Protect yourself and others from Zika. Learn how during National Preparedness Month: https://t.co/LXbSjHovMo… https://t.co/hfM0DVVgNl
13,781232513779896320,Does a #hurricane help or hinder the spread of #Zika? https://t.co/tIacQ9zcqY #FIGHTtheBITE #zikavirus #mosquito
14,750119143572111360,Protect Yourself From Zika Virus - Here's The Complete Survival Guide You Need https://t.co/8TLjiQcxjx via @
15,750198249911361536,Welcome to The First Official Olympic Mosquito Repellent: Rio 2016 Sign Bug Spray Deal Amid Zika Worry https://t.co/qkWuE6rHeo via @business
16,750290944658931712,"Is OFF bug spray enough to combat #Zika in #Rio2016? Who knows, but #IOC happy to have another sponsor https://t.co/hr9vmxDxZx"
17,750322237786378240,Take a look at our feature abt #gmo mosquitoes being tested to fight viruses like #Zika https://t.co/7vMIwDe8gI
18,750323934256566272,Protect yourself from Zika virus: https://t.co/bf3WEFNHPg
19,750332199363280897,Learn how to stay safe from mosquitoes carrying #Zika virus: https://t.co/s182Ra6Gg9 https://t.co/Y3gatXbD3D
